damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0.04,08,06,17:00:00,2021,기타,산9-2,화상대,홍천,내촌,강원,08,화요일,06,14:52:00,2021
0.01,07,06,17:00:00,2021,쓰레기소각,산126,향호,강릉,주문진,강원,07,월요일,06,15:13:00,2021
0.01,07,06,16:00:00,2021,기타,산128,향호,강릉,주문진,강원,07,월요일,06,15:13:00,2021
0.05,31,05,18:10:00,2021,입산자실화,670-2,금천,보성,율어,전남,31,월요일,05,15:56:00,2021
0.13,27,05,18:00:00,2021,건축물화재비화,산133,직,고령,개진,경북,27,목요일,05,15:32:00,2021
0.1,14,05,14:00:00,2021,기타,산35,상안,횡성,안흥,강원,14,금요일,05,11:53:00,2021
0.01,13,05,17:33:00,2021,쓰레기소각,산160,운교,함평,대동,전남,13,목요일,05,17:02:00,2021
1.2,13,05,20:10:00,2021,기타,산10외1,하사미,태백,,강원,13,목요일,05,15:35:00,2021
0.3,12,05,09:00:00,2021,입산자실화,산62-1,묵현,남양주,화도,경기,12,수요일,05,04:22:00,2021
0.1,10,05,16:30:00,2021,기타,산75-2,석포,부안,진서,전북,10,월요일,05,14:45:00,2021
0.01,10,05,03:00:00,2021,입산자실화,산6-1,종민,충주,,충북,10,월요일,05,01:18:00,2021
0.01,09,05,19:10:00,2021,기타,산21,화지,철원,철원,강원,09,일요일,05,17:49:00,2021
0.03,09,05,14:50:00,2021,기타,산93,율이,철원,철원,강원,09,일요일,05,13:43:00,2021
0.2,09,05,14:30:00,2021,기타,산70,시동,홍천,남,강원,09,일요일,05,13:16:00,2021
0.02,09,05,13:30:00,2021,입산자실화,산64-2,좌사,구례,산동,전남,09,일요일,05,12:20:00,2021
1.4,09,05,14:35:00,2021,입산자실화,산60-1,저전,고령,대가야,경북,09,일요일,05,12:10:00,2021
0.05,08,05,19:30:00,2021,입산자실화,산19-1,계산,유성,,대전,08,토요일,05,17:31:00,2021
0.01,08,05,16:00:00,2021,입산자실화,산90-1,상안,횡성,안흥,강원,08,토요일,05,12:12:00,2021
0.2,07,05,13:30:00,2021,입산자실화,산123-1외 2필,황조,삼척,도계,강원,07,금요일,05,11:05:00,2021
0.01,07,05,01:00:00,2021,기타,197-3,갈남,삼척,원덕,강원,06,목요일,05,21:06:00,2021
0.1,06,05,18:30:00,2021,입산자실화,산213,심적,인제,서화,강원,06,목요일,05,17:30:00,2021
