date,region_group,일별_합계,산불발생여부
2016-01-01,강원,0,0
2016-01-02,강원,0,0
2016-01-03,강원,0,0
2016-01-04,강원,0,0
2016-01-05,강원,0,0
2016-01-06,강원,1,1
2016-01-07,강원,0,0
2016-01-08,강원,0,0
2016-01-09,강원,0,0
2016-01-10,강원,0,0
2016-01-11,강원,0,0
2016-01-12,강원,1,1
2016-01-13,강원,1,1
2016-01-14,강원,0,0
2016-01-15,강원,0,0
2016-01-16,강원,0,0
2016-01-17,강원,0,0
2016-01-18,강원,0,0
2016-01-19,강원,1,1
2016-01-20,강원,0,0
2016-01-21,강원,0,0
2016-01-22,강원,1,1
2016-01-23,강원,0,0
2016-01-24,강원,0,0
2016-01-25,강원,1,1
2016-01-26,강원,2,1
2016-01-27,강원,1,1
2016-01-28,강원,0,0
2016-01-29,강원,2,1
2016-01-30,강원,0,0
2016-01-31,강원,1,1
2016-02-01,강원,2,1
2016-02-02,강원,0,0
2016-02-03,강원,0,0
2016-02-04,강원,2,1
2016-02-05,강원,1,1
2016-02-06,강원,0,0
2016-02-07,강원,0,0
2016-02-08,강원,1,1
2016-02-09,강원,0,0
2016-02-10,강원,1,1
2016-02-11,강원,0,0
2016-02-12,강원,0,0
2016-02-13,강원,0,0
2016-02-14,강원,0,0
2016-02-15,강원,0,0
2016-02-16,강원,0,0
2016-02-17,강원,0,0
2016-02-18,강원,1,1
2016-02-19,강원,0,0
2016-02-20,강원,0,0
2016-02-21,강원,2,1
2016-02-22,강원,0,0
2016-02-23,강원,3,1
2016-02-24,강원,0,0
2016-02-25,강원,0,0
2016-02-26,강원,2,1
2016-02-27,강원,0,0
2016-02-28,강원,0,0
2016-02-29,강원,0,0
2016-03-01,강원,0,0
2016-03-02,강원,1,1
2016-03-03,강원,0,0
2016-03-04,강원,2,1
2016-03-05,강원,0,0
2016-03-06,강원,1,1
2016-03-07,강원,0,0
2016-03-08,강원,0,0
2016-03-09,강원,0,0
2016-03-10,강원,0,0
2016-03-11,강원,0,0
2016-03-12,강원,0,0
2016-03-13,강원,0,0
2016-03-14,강원,0,0
2016-03-15,강원,1,1
2016-03-16,강원,2,1
2016-03-17,강원,2,1
2016-03-18,강원,1,1
2016-03-19,강원,0,0
2016-03-20,강원,0,0
2016-03-21,강원,0,0
2016-03-22,강원,0,0
